machine_id,gpu,date,batch_size_in_bits,keys_per_work_item,candidates_per_second,addresses_checked_per_second,seconds_per_arm,warmup_seconds,verification_micros_measured,winner,kernel
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,19,256,17248277.21,268898.06,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,19,512,12818193.77,199989.39,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,19,1024,7916089.11,123460.31,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,19,2048,4482376.85,69864.05,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,20,16,1625226.58,25267.07,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,20,64,5871719.48,91550.63,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,20,256,18087034.00,281780.65,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,20,512,23801077.91,371235.24,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,20,1024,15622584.38,243597.82,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,20,2048,8807589.12,137290.80,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,21,16,1677653.41,26222.03,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,21,64,5767097.27,90055.40,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,21,256,16042550.16,250325.66,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,21,512,24639043.14,384475.50,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,21,1024,29358577.87,457790.43,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,21,2048,17506887.82,273330.38,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,22,16,1677482.44,26174.37,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,22,64,5658527.31,88131.78,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,22,256,15306449.23,238655.26,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,22,512,20746451.49,323856.23,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,22,1024,31229382.90,487126.69,20,5,10.11,,inline
coreultra7155h-95g-win11,Intel(R) Arc(TM) Pro Graphics,2026-07-25,22,2048,32070933.41,499982.58,20,5,10.11,,inline
